id,fromNodeId,toNodeId,steps,routeDirection,routeTransition,source,reversible,createdAt,updatedAt
admission-bus-parking,enquiry-office,college-bus-parking,30,straight,,user-confirmed,1,09/09/2026 18:10,09/09/2026 18:10
admission-counters-center-dome,admission-section-counters,center-dome,0,right,,user-confirmed-range-0-to-14,1,09/09/2026 18:10,09/09/2026 18:10
admission-counters-end,admission-section-counters,admission-section-end,18,straight,,user-confirmed,1,09/09/2026 18:10,09/09/2026 18:10
admission-end-library-lift,admission-section-end,lift-library,2,straight,,user-confirmed,1,09/09/2026 18:10,09/09/2026 18:10
admission-end-teacher-chamber,admission-section-end,teacher-chamber,0,right,,user-confirmed,1,09/09/2026 18:10,09/09/2026 18:10
admission-end-teachers-punching,admission-section-end,teachers-punching,0,left,,user-confirmed,1,09/09/2026 18:10,09/09/2026 18:10
admission-face-right-15,admission-face-turn,face-detection,15,right,,user-confirmed,1,09/09/2026 18:10,09/09/2026 18:10
admission-face-straight-20,enquiry-office,admission-face-turn,20,straight,,user-confirmed,1,09/09/2026 18:10,09/09/2026 18:10
admission-start-counters,admission-section-start,admission-section-counters,18,straight,,user-confirmed,1,09/09/2026 18:10,09/09/2026 18:10
boys-washroom-eb107ab,boys-washroom,eb107ab,11,straight,,user-confirmed,1,09/09/2026 18:10,09/09/2026 18:10
cafeteria-68,cafeteria-route,cafeteria-crossing,68,straight,,user-confirmed,1,09/09/2026 18:10,09/09/2026 18:10
cafeteria-entrance-8-right,cafeteria-entrance-route,cafeteria-route,8,right,,user-confirmed,1,09/09/2026 18:10,09/09/2026 18:10
cafeteria-to-amphitheatre-5-left,cafeteria-crossing,amphitheatre-63-end,5,left,,user-confirmed,1,09/09/2026 18:10,09/09/2026 18:10
center-dome-entrance,center-dome,center-dome-entrance,13,straight,,user-confirmed,1,09/09/2026 18:10,09/09/2026 18:10
center-dome-entrance-fountain,center-dome-entrance,decorative-fountain,40,straight,,user-confirmed,1,09/09/2026 18:10,09/09/2026 18:10
center-dome-l-wing-1,center-dome,l-wing-1,18,left,,user-confirmed-alternative,1,09/09/2026 18:10,09/09/2026 18:10
center-dome-r-wing-1,center-dome,r-wing-1,18,right,,user-confirmed-alternative,1,09/09/2026 18:10,09/09/2026 18:10
college-bus-parking-r-wing-stairs,college-bus-parking,r-wing-2-staircase,12,right,staircase,user-confirmed,1,09/09/2026 18:10,09/09/2026 18:10
delegates-admission-start-zero,delegates-lounge-principal-chamber,admission-section-start,0,straight,,user-confirmed,1,09/09/2026 18:10,09/09/2026 18:10
delegates-approach-delegates-zero-right,delegates-lounge-approach,delegates-lounge-principal-chamber,0,right,,user-confirmed,1,09/09/2026 18:10,09/09/2026 18:10
ds-skill-lab-r-wing-1-staircase,ds-skill-lab,r-wing-1-staircase,16,straight,staircase,user-confirmed,1,09/09/2026 18:10,09/09/2026 18:10
eb105a-boys-washroom,eb105a,boys-washroom,9,straight,,user-confirmed,1,09/09/2026 18:10,09/09/2026 18:10
eb107ab-eb120,eb107ab,eb120-student-community-centre,6,straight,,user-confirmed,1,09/09/2026 18:10,09/09/2026 18:10
eb107ab-student-community-centre-main-area,eb107ab,student-community-centre-main-area,44,right,,user-confirmed,1,09/09/2026 18:10,09/09/2026 18:10
eb108ab-eb109,eb108ab,eb109-project-room,8,right,,user-confirmed,1,09/09/2026 18:10,09/09/2026 18:10
eb109-eb110,eb109-project-room,eb110-controller-office,19,straight,,user-confirmed,1,09/09/2026 18:10,09/09/2026 18:10
eb110-eb111,eb110-controller-office,eb111-controller-office,18,straight,,user-confirmed,1,09/09/2026 18:10,09/09/2026 18:10
eb111-eb112,eb111-controller-office,eb112-interactive-learning-room,7,straight,,user-confirmed,1,09/09/2026 18:10,09/09/2026 18:10
eb112-student-community-centre-main-area,eb112-interactive-learning-room,student-community-centre-main-area,13,left,,user-confirmed,1,09/09/2026 18:10,09/09/2026 18:10
eb120-eb108ab,eb120-student-community-centre,eb108ab,7,straight,,user-confirmed,1,09/09/2026 18:10,09/09/2026 18:10
eb122ab-lab-branch,eb122ab,r-wing-1-lab-branch,12,straight,,user-confirmed,1,09/09/2026 18:10,09/09/2026 18:10
eb123ab-eb122ab,eb123ab,eb122ab,18,straight,,user-confirmed,1,09/09/2026 18:10,09/09/2026 18:10
eb124ab1-eb123ab,eb124ab1,eb123ab,18,straight,,user-confirmed,1,09/09/2026 18:10,09/09/2026 18:10
face-detection-junction,face-detection,face-detection-junction,26,straight,,user-confirmed,1,09/09/2026 18:10,09/09/2026 18:10
fountain-approach-medical,fountain-xerox-approach,medical-room,,left,,user-confirmed-negative-2,1,09/09/2026 18:10,09/09/2026 18:10
fountain-approach-xerox,fountain-xerox-approach,route-xerox,12,straight,,user-confirmed,1,09/09/2026 18:10,09/09/2026 18:10
fountain-cafeteria-right,decorative-fountain,fountain-cafeteria-turn,6,right,,user-confirmed,1,09/09/2026 18:10,09/09/2026 18:10
fountain-face-stage,decorative-fountain,fountain-face-stage,24,straight,,user-confirmed,1,09/09/2026 18:10,09/09/2026 18:10
fountain-greenery-1,decorative-fountain,sitting-benches-greenery-1,30,left,,user-confirmed,1,09/09/2026 18:10,09/09/2026 18:10
fountain-stage-face-junction,fountain-face-stage,face-detection-junction,34,straight,,user-confirmed,1,09/09/2026 18:10,09/09/2026 18:10
fountain-turn-cafeteria,fountain-cafeteria-turn,cafeteria-route,0,left,,user-confirmed,1,09/09/2026 18:10,09/09/2026 18:10
fountain-xerox-approach,decorative-fountain,fountain-xerox-approach,,straight,,user-confirmed-range-0-to-24,1,09/09/2026 18:10,09/09/2026 18:10
greenery-1-greenery-2,sitting-benches-greenery-1,sitting-benches-greenery-2,15,straight,,user-confirmed,1,09/09/2026 18:10,09/09/2026 18:10
greenery-2-seating-branch,sitting-benches-greenery-2,fountain-seating-branch,21,straight,,user-confirmed,1,09/09/2026 18:10,09/09/2026 18:10
junction-amphitheatre,face-detection-junction,amphitheatre,63,straight,,user-confirmed,1,09/09/2026 18:10,09/09/2026 18:10
junction-cafeteria-entrance-2,face-detection-junction,cafeteria-entrance-2,10,right,,user-confirmed,1,09/09/2026 18:10,09/09/2026 18:10
junction-r-wing-2,face-detection-junction,r-wing-2,0,left,,user-confirmed,1,09/09/2026 18:10,09/09/2026 18:10
l-wing-2-approach-block,l-wing-2-block,l-wing-2-cyber-staircase,0,left,,user-confirmed,1,09/09/2026 18:10,09/09/2026 18:10
lab-branch-first-floor,r-wing-1-lab-branch,r-wing-1-first-floor,5,straight,,user-confirmed-alternative,1,09/09/2026 18:10,09/09/2026 18:10
lab-branch-lawn-amphitheatre,r-wing-1-lab-branch,r-wing-1-lawn-amphitheatre,5,right,,user-confirmed-alternative,1,09/09/2026 18:10,09/09/2026 18:10
main-admission,main-gate,enquiry-office,10,straight,,user-confirmed,1,09/09/2026 18:10,09/09/2026 18:10
main-bus-parking,main-gate,college-bus-parking,35,straight,,user-confirmed,1,09/09/2026 18:10,09/09/2026 18:10
r-wing-1-block-eb124ab1,r-wing-1-laboratory-block,eb124ab1,6,straight,,user-confirmed,1,09/09/2026 18:10,09/09/2026 18:10
r-wing-2-r101,r-wing-2,r101,5,left,,user-confirmed,1,09/09/2026 18:10,09/09/2026 18:10
r-wing-junction-college-bus-parking,r-wing-junction,college-bus-parking,12,left,,user-confirmed,1,09/09/2026 18:10,09/09/2026 18:10
r-wing-junction-eb105a,r-wing-junction,eb105a,9,straight,,user-confirmed,1,09/09/2026 18:10,09/09/2026 18:10
r-wing-junction-r-wing-1-block-zero,r-wing-junction,r-wing-1-laboratory-block,0,right,,user-confirmed,1,09/09/2026 18:10,09/09/2026 18:10
r-wing-junction-r105,r-wing-junction,r105-boys-washroom,10,straight,,user-confirmed,1,09/09/2026 18:10,09/09/2026 18:10
r-wing-junction-r112,r-wing-junction,r112,5,right,,user-confirmed,1,09/09/2026 18:10,09/09/2026 18:10
r-wing-stairs-r-wing-1-first-floor-junction,r-wing-2-staircase,r-wing-1-first-floor-junction,26,forward,staircase,user-confirmed,1,09/09/2026 18:10,09/09/2026 18:10
r101-r102,r101,r102,19,straight,,user-confirmed,1,09/09/2026 18:10,09/09/2026 18:10
r102-r103,r102,r103,19,straight,,user-confirmed,1,09/09/2026 18:10,09/09/2026 18:10
r103-r104-ds-staffroom,r103,r104-ds-staffroom,19,straight,,user-confirmed,1,09/09/2026 18:10,09/09/2026 18:10
r104-r-wing-junction,r104-ds-staffroom,r-wing-junction,8,straight,,user-confirmed,1,09/09/2026 18:10,09/09/2026 18:10
r105-r106,r105-boys-washroom,r106-ds-hod,4,straight,,user-confirmed,1,09/09/2026 18:10,09/09/2026 18:10
r106-r107,r106-ds-hod,r107-ade-lab,8,straight,,user-confirmed,1,09/09/2026 18:10,09/09/2026 18:10
r111-ds-skill-lab,r111,ds-skill-lab,20,straight,,user-confirmed,1,09/09/2026 18:10,09/09/2026 18:10
r112-r111,r112,r111,20,straight,,user-confirmed,1,09/09/2026 18:10,09/09/2026 18:10
seating-branch-l-wing-2-approach,fountain-seating-branch,l-wing-2-block,6,straight,,user-confirmed,1,09/09/2026 18:10,09/09/2026 18:10
seating-branch-student-lawn,fountain-seating-branch,student-lawn-seating,2,left,,user-confirmed,1,09/09/2026 18:10,09/09/2026 18:10
student-centre-main-delegates-approach,student-community-centre-main-area,delegates-lounge-approach,13,straight,,user-confirmed,1,09/09/2026 18:10,09/09/2026 18:10
